Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Álex Abrines,SG,25,OKC,31,2,588,56,157,41,127,15,30,12,13,5,43,48,20,17,6,14,53,165
2,Quincy Acy,PF,28,PHO,10,0,123,4,18,2,15,2,3,7,10,3,22,25,8,1,4,4,24,17
3,Jaylen Adams,PG,22,ATL,34,1,428,38,110,25,74,13,36,7,9,11,49,60,65,14,5,28,45,108
4,Steven Adams,C,25,OKC,80,80,2669,481,809,0,2,481,807,146,292,391,369,760,124,117,76,135,204,1108
5,Bam Adebayo,C,21,MIA,82,28,1913,280,486,3,15,277,471,166,226,165,432,597,184,71,65,121,203,729
6,Deng Adel,SF,21,CLE,19,3,194,11,36,6,23,5,13,4,4,3,16,19,5,1,4,6,13,32
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,3,10,0,4,3,6,1,2,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge,C,33,SAS,81,81,2687,684,1319,10,42,674,1277,349,412,251,493,744,194,43,107,144,179,1727
9,Rawle Alkins,SG,21,CHI,10,1,120,13,39,3,12,10,27,8,12,11,15,26,13,1,0,8,7,37
10,Grayson Allen,SG,23,UTA,38,2,416,67,178,32,99,35,79,45,60,3,20,23,25,6,6,33,47,211
11,Jarrett Allen,C,20,BRK,80,80,2096,335,568,6,45,329,523,197,278,191,481,672,110,43,120,103,184,873
12,Kadeem Allen,SG,26,NYK,19,1,416,65,141,17,36,48,105,42,54,8,43,51,76,16,4,26,46,189
13,Al-Farouq Aminu,PF,28,POR,81,81,2292,257,593,96,280,161,313,150,173,112,498,610,104,68,33,72,143,760
14,Justin Anderson,SF,25,ATL,48,4,463,64,157,24,77,40,80,26,35,24,60,84,23,22,13,23,48,178
15,Kyle Anderson,SF,25,MEM,43,40,1281,150,276,9,34,141,242,37,64,48,203,251,128,54,37,58,112,346
16,Ryan Anderson,PF,30,TOT,25,8,322,21,69,9,40,12,29,12,16,18,36,54,19,4,1,14,25,63
17,Ike Anigbogu,C,20,IND,3,0,6,0,3,0,0,0,3,0,0,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo,PF,24,MIL,72,72,2358,721,1247,52,203,669,1044,500,686,159,739,898,424,92,110,268,232,1994
19,Kostas Antetokounmpo,PF,21,DAL,2,0,11,0,3,0,0,0,3,2,4,0,1,1,0,2,0,1,0,2
20,Carmelo Anthony,PF,34,HOU,10,2,294,49,121,21,64,28,57,15,22,9,45,54,5,4,7,8,32,134
21,OG Anunoby,SF,21,TOR,67,6,1352,183,404,67,202,116,202,36,62,58,139,197,47,46,22,55,140,469
22,Ryan Arcidiacono,PG,24,CHI,81,32,1961,187,418,81,217,106,201,89,102,27,192,219,269,65,4,63,171,544
23,Trevor Ariza,SF,33,TOT,69,69,2349,294,736,145,434,149,302,130,164,50,321,371,252,91,21,106,130,863
24,D.J. Augustin,PG,31,ORL,81,81,2269,318,677,131,311,187,366,181,209,41,162,203,426,52,4,128,115,948
25,Deandre Ayton,C,20,PHO,71,70,2183,509,870,0,4,509,866,141,189,223,506,729,125,61,67,126,209,1159
26,Dwayne Bacon,SG,23,CHO,43,13,759,122,257,38,87,84,170,34,46,8,81,89,47,12,5,18,72,316
27,Marvin Bagley,PF,19,SAC,62,4,1567,356,706,30,96,326,610,181,262,162,309,471,62,33,59,98,120,923
28,Ron Baker,SG,25,TOT,15,0,152,4,20,1,13,3,7,5,6,1,10,11,15,6,1,5,18,14
29,Wade Baldwin,PG,22,POR,16,0,94,10,33,2,9,8,24,8,11,2,13,15,12,1,2,14,11,30
