Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
401,Nick Van Exel,PG,28,DEN,79,79,37.3,6.0,15.4,1.7,5.1,4.3,10.3,2.5,3.0,0.4,3.5,3.9,9.0,0.9,0.1,2.8,1.9,16.1
402,Keith Van Horn,PF,24,NJN,80,80,34.8,7.0,15.7,1.1,2.9,5.9,12.9,4.2,4.9,2.5,6.0,8.5,2.0,0.8,0.8,3.1,3.2,19.2
403,Jacque Vaughn,PG,24,UTA,78,0,11.3,1.4,3.4,0.2,0.4,1.2,2.9,0.7,1.0,0.1,0.7,0.8,1.6,0.4,0.0,1.0,1.2,3.7
404,Loy Vaught,PF,31,DET,43,0,6.8,0.7,2.1,0.0,0.1,0.7,2.0,0.3,0.4,0.6,1.5,2.1,0.3,0.1,0.1,0.3,1.0,1.7
405,Fred Vinson,SG,29,SEA,8,0,5.0,0.6,2.1,0.3,0.9,0.4,1.3,0.1,0.3,0.0,0.1,0.1,0.0,0.4,0.0,0.5,0.3,1.6
406,Antoine Walker,PF,23,BOS,82,82,36.6,7.9,18.4,0.9,3.5,7.0,14.9,3.8,5.4,2.4,5.5,8.0,3.7,1.4,0.4,3.2,3.2,20.5
407,Samaki Walker,PF,23,SAS,71,7,13.8,1.9,4.3,0.0,0.0,1.9,4.3,1.2,1.8,1.1,2.7,3.8,0.5,0.1,0.5,0.9,1.5,5.1
408,Ben Wallace,PF,25,ORL,81,81,24.2,2.1,4.1,0.0,0.0,2.1,4.1,0.7,1.4,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2.0,4.8
409,John Wallace,SF,25,NYK,60,0,13.3,2.6,5.5,0.0,0.1,2.6,5.5,1.4,1.7,0.7,1.6,2.3,0.4,0.2,0.2,1.1,1.7,6.5
410,Rasheed Wallace,PF,25,POR,81,77,35.1,6.7,12.9,0.1,0.6,6.6,12.3,2.9,4.1,1.6,5.4,7.0,1.8,1.1,1.3,1.9,2.7,16.4
411,Rex Walters,PG,29,MIA,33,0,11.8,1.2,2.8,0.2,0.6,1.0,2.2,0.4,0.5,0.2,0.8,1.1,2.0,0.2,0.0,0.9,1.3,2.8
412,Charlie Ward,PG,29,NYK,72,69,27.6,2.6,6.2,1.4,3.7,1.2,2.5,0.7,0.8,0.3,2.9,3.2,4.2,1.3,0.2,1.4,2.4,7.3
413,Clarence Weatherspoon,PF,29,MIA,78,2,20.7,2.8,5.4,0.0,0.0,2.8,5.4,1.7,2.3,1.6,4.1,5.8,1.2,0.7,0.6,1.3,2.1,7.2
414,Chris Webber,PF,26,SAC,75,75,38.4,10.0,20.6,0.4,1.3,9.6,19.4,4.1,5.5,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5
415,Bonzi Wells,SF,23,POR,66,0,17.6,3.6,7.3,0.3,0.8,3.3,6.5,1.3,2.0,1.2,1.6,2.8,1.5,1.0,0.2,1.5,2.3,8.8
416,Bill Wennington,C,36,SAC,7,0,8.1,0.9,2.7,0.0,0.0,0.9,2.7,0.3,0.3,0.7,2.0,2.7,0.1,0.3,0.3,0.1,1.9,2.0
417,David Wesley,PG,29,CHH,82,82,33.7,5.0,11.6,1.1,3.0,3.9,8.6,2.6,3.4,0.5,2.3,2.7,5.6,1.3,0.1,1.9,2.3,13.6
418,Doug West,SG,32,VAN,38,0,15.3,1.6,3.8,0.0,0.1,1.6,3.7,0.9,1.1,0.5,1.4,1.9,1.1,0.3,0.2,0.5,2.1,4.0
419,Mark West,C,39,PHO,22,2,5.8,0.2,0.5,0.0,0.0,0.2,0.5,0.2,0.4,0.3,1.1,1.4,0.1,0.1,0.2,0.3,1.0,0.7
